Date,Open,High,Low,Close,Volume
2014.05.09 04:35,1.382240,1.382250,1.381910,1.381920,0
2014.05.09 04:36,1.381930,1.381990,1.381740,1.381780,0
2014.05.09 04:37,1.381770,1.381810,1.381730,1.381790,0
2014.05.09 04:38,1.381810,1.381900,1.381810,1.381900,0
2014.05.09 04:39,1.381910,1.381940,1.381820,1.381820,0
2014.05.09 04:40,1.381810,1.381820,1.381730,1.381760,0
2014.05.09 04:41,1.381750,1.381940,1.381740,1.381910,0
2014.05.09 04:42,1.381890,1.381920,1.381840,1.381910,0
2014.05.09 04:43,1.381900,1.381900,1.381780,1.381780,0
2014.05.09 04:44,1.381810,1.381820,1.381660,1.381730,0
2014.05.09 04:45,1.381720,1.381720,1.381370,1.381410,0
2014.05.09 04:46,1.381420,1.381480,1.381340,1.381480,0
2014.05.09 04:47,1.381470,1.381480,1.381430,1.381470,0
2014.05.09 04:48,1.381490,1.381560,1.381480,1.381560,0
2014.05.09 04:49,1.381570,1.381610,1.381550,1.381580,0
2014.05.09 04:50,1.381590,1.381620,1.381420,1.381480,0
2014.05.09 04:51,1.381470,1.381490,1.381400,1.381490,0
2014.05.09 04:52,1.381500,1.381520,1.381390,1.381440,0
2014.05.09 04:53,1.381450,1.381450,1.381420,1.381430,0
2014.05.09 04:54,1.381440,1.381470,1.381430,1.381430,0
2014.05.09 04:55,1.381440,1.381500,1.381440,1.381500,0
2014.05.09 04:56,1.381510,1.381640,1.381490,1.381630,0
2014.05.09 04:57,1.381640,1.381670,1.381620,1.381650,0
2014.05.09 04:58,1.381630,1.381650,1.381440,1.381460,0
2014.05.09 04:59,1.381450,1.381510,1.381430,1.381480,0
2014.05.09 05:00,1.381470,1.381470,1.381420,1.381420,0
2014.05.09 05:01,1.381430,1.381480,1.381430,1.381470,0
2014.05.09 05:02,1.381480,1.381710,1.381470,1.381660,0
2014.05.09 05:03,1.381650,1.381650,1.381610,1.381630,0
2014.05.09 05:04,1.381640,1.381650,1.381560,1.381560,0
2014.05.09 05:05,1.381590,1.381600,1.381510,1.381540,0
